State,Severity,crash,car
AL,2.128351102,19322,2035376
AR,2.256241427,10935,872437
AZ,2.069552598,56504,2410018
CA,2.041998171,795868,14201400
CO,2.662273086,25340,1639028
CT,2.265035952,29762,1211171
DC,2.190955874,9133,210297
DE,2.502271789,4842,415915
FL,2.069359323,401388,7841553
GA,2.519533004,40086,3495421
IA,2.356719059,9607,1163751
ID,2.11821161,8544,588362
IL,2.548880161,47105,4161655
IN,2.461534772,20850,2123748
KS,2.219971217,9033,889083
KY,2.345736668,6638,1644497
LA,2.054306402,47232,1315691
MA,2.361702128,6392,2003373
MD,2.311792272,65085,1823553
ME,2.103967168,2193,356079
MI,2.335994343,43843,2691704
MN,2.047085456,97185,1841690
MO,2.246583201,29633,1991376
MS,2.19924812,5320,788425
MT,2.037396642,15964,459081
NC,2.118364309,91362,3398470
ND,2.011957484,2258,215654
NE,2.315963855,3320,624907
NH,2.127263321,3866,460825
NJ,2.24138974,52902,2541125
NM,2.37721519,2370,623955
NV,2.226077134,6197,1027503
NY,2.216198206,108049,4232748
OH,2.486623786,24409,4247843
OK,2.191119691,8806,1223848
OR,2.07370529,126341,1440848
PA,2.20344086,99975,4043715
RI,2.155695349,4451,381767
SC,2.050226417,89216,1767348
SD,2.467661692,201,325001
TN,2.081253683,52613,2115632
TX,2.184940652,149037,8088058
UT,2.07289655,49193,902723
VA,2.176650372,113535,3057254
VT,2.397260274,365,193407
WA,2.305062358,32554,2800370
WI,2.835233029,7896,1901497
WV,2.185927673,7632,508663
WY,2.571717172,990,191332
